structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Infracerebellar nucleus,1.0,0.0,1.0,0.007022,0.006966,0.013988,142.40956992309884,0.0
"Infralimbic area, layer 1",0.0,0.0,0.0,0.041066,0.0396409999999999,0.080707,0.0,0.0
"Infralimbic area, layer 2/3",0.0,0.0,0.0,0.039868,0.035664,0.075532,0.0,0.0
"Infralimbic area, layer 5",44.0,78.0,122.0,0.096856,0.079362,0.1762179999999999,454.2826464029074,982.8381341196039
"Infralimbic area, layer 6a",1.0,0.0,1.0,0.054986,0.043364,0.0983499999999999,18.18644745935329,0.0
"Infralimbic area, layer 6b",0.0,0.0,0.0,0.002825,0.002222,0.0050469999999999,0.0,0.0
Interanterodorsal nucleus of the thalamus,0.0,0.0,0.0,0.047465,0.04641,0.093875,0.0,0.0
Interanteromedial nucleus of the thalamus,0.0,0.0,0.0,0.018344,0.018415,0.036759,0.0,0.0
Intercalated amygdalar nucleus,0.0,0.0,0.0,0.029688,0.028314,0.058002,0.0,0.0
Interfascicular nucleus raphe,1.0,0.0,1.0,0.019732,0.020312,0.0400439999999999,50.67909993918508,0.0
Intergeniculate leaflet of the lateral geniculate complex,0.0,0.0,0.0,0.020378,0.016795,0.037173,0.0,0.0
Intermediate geniculate nucleus,0.0,0.0,0.0,0.006062,0.005588,0.01165,0.0,0.0
Intermediate reticular nucleus,320.0,943.0,1263.0,0.8910159999999999,0.915587,1.806603,359.14057660019574,1029.94035520382
Intermediodorsal nucleus of the thalamus,0.0,0.0,0.0,0.0540449999999999,0.053248,0.107293,0.0,0.0
Interpeduncular nucleus,0.0,0.0,0.0,0.0024,0.002436,0.004836,0.0,0.0
"Interpeduncular nucleus, apical",0.0,0.0,0.0,0.0054129999999999,0.005471,0.010884,0.0,0.0
"Interpeduncular nucleus, caudal",0.0,0.0,0.0,0.017162,0.0171009999999999,0.034263,0.0,0.0
"Interpeduncular nucleus, dorsolateral",0.0,0.0,0.0,0.0092509999999999,0.0096619999999999,0.018913,0.0,0.0
"Interpeduncular nucleus, dorsomedial",0.0,0.0,0.0,0.004076,0.004242,0.0083179999999999,0.0,0.0
"Interpeduncular nucleus, intermediate",0.0,0.0,0.0,0.008092,0.008151,0.016243,0.0,0.0
"Interpeduncular nucleus, lateral",0.0,0.0,0.0,0.015522,0.01543,0.030952,0.0,0.0
"Interpeduncular nucleus, rostral",0.0,0.0,0.0,0.022498,0.0225889999999999,0.045087,0.0,0.0
"Interpeduncular nucleus, rostrolateral",0.0,0.0,0.0,0.005507,0.005692,0.011199,0.0,0.0
Interposed nucleus,8.0,0.0,8.0,0.095745,0.085797,0.1815419999999999,83.55527703796542,0.0
Interstitial nucleus of Cajal,45.0,57.0,102.0,0.020415,0.02182,0.0422349999999999,2204.261572373255,2612.282309807516
Intertrigeminal nucleus,0.0,0.0,0.0,0.008582,0.0096099999999999,0.018192,0.0,0.0
Koelliker-Fuse subnucleus,2.0,0.0,2.0,0.0294429999999999,0.031479,0.060922,67.92786061203026,0.0
Lateral amygdalar nucleus,0.0,0.0,0.0,0.1962259999999999,0.162133,0.358359,0.0,0.0
Lateral dorsal nucleus of thalamus,0.0,0.0,0.0,0.361979,0.383078,0.745057,0.0,0.0
Lateral habenula,0.0,0.0,0.0,0.06105,0.0584369999999999,0.119487,0.0,0.0
Lateral hypothalamic area,199.0,258.0,457.0,0.406339,0.4015189999999999,0.807858,489.7388633628571,642.5598788600292
Lateral mammillary nucleus,0.0,1.0,1.0,0.010106,0.011079,0.021185,0.0,90.26085386767758
Lateral posterior nucleus of the thalamus,0.0,0.0,0.0,0.3032459999999999,0.320672,0.623918,0.0,0.0
Lateral preoptic area,0.0,4.0,4.0,0.109737,0.106906,0.216643,0.0,37.41604774287692
"Lateral reticular nucleus, magnocellular part",13.0,293.0,306.0,0.062613,0.07651,0.139123,207.6246146966285,3829.564762776108
"Lateral reticular nucleus, parvicellular part",2.0,7.0,9.0,0.011698,0.0137659999999999,0.025464,170.96939647803043,508.4992009298308
"Lateral septal nucleus, caudal (caudodorsal) part",0.0,0.0,0.0,0.166771,0.167051,0.333822,0.0,0.0
"Lateral septal nucleus, rostral (rostroventral) part",0.0,0.0,0.0,0.424129,0.3826839999999999,0.806813,0.0,0.0
"Lateral septal nucleus, ventral part",0.0,0.0,0.0,0.1270919999999999,0.1146659999999999,0.2417579999999999,0.0,0.0
Lateral terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.004704,0.0036739999999999,0.008378,0.0,0.0
Lateral vestibular nucleus,9.0,14.0,23.0,0.047913,0.040462,0.088375,187.84046083526394,346.0036577529534
"Lateral visual area, layer 1",0.0,0.0,0.0,0.044069,0.03686,0.080929,0.0,0.0
"Lateral visual area, layer 2/3",0.0,0.0,0.0,0.057296,0.0494,0.106696,0.0,0.0
"Lateral visual area, layer 4",0.0,0.0,0.0,0.028024,0.0248059999999999,0.05283,0.0,0.0
"Lateral visual area, layer 5",0.0,0.0,0.0,0.043365,0.038784,0.082149,0.0,0.0
"Lateral visual area, layer 6a",0.0,0.0,0.0,0.0263109999999999,0.023621,0.049932,0.0,0.0
"Lateral visual area, layer 6b",0.0,0.0,0.0,0.004822,0.004292,0.009114,0.0,0.0
Laterodorsal tegmental nucleus,3.0,109.0,112.0,0.040521,0.045255,0.0857759999999999,74.03568520026653,2408.5736382720143
"Laterointermediate area, layer 1",0.0,0.0,0.0,0.017143,0.014495,0.031638,0.0,0.0
"Laterointermediate area, layer 2/3",0.0,0.0,0.0,0.0219469999999999,0.0194249999999999,0.0413719999999999,0.0,0.0
"Laterointermediate area, layer 4",0.0,0.0,0.0,0.009066,0.008248,0.017314,0.0,0.0
"Laterointermediate area, layer 5",0.0,0.0,0.0,0.020524,0.019086,0.03961,0.0,0.0
"Laterointermediate area, layer 6a",0.0,0.0,0.0,0.0100609999999999,0.0093829999999999,0.0194439999999999,0.0,0.0
"Laterointermediate area, layer 6b",0.0,0.0,0.0,0.002043,0.0018499999999999,0.0038929999999999,0.0,0.0
Linear nucleus of the medulla,9.0,20.0,29.0,0.0228209999999999,0.027336,0.0501569999999999,394.37360326015687,731.6359379572725
Lingula (I),0.0,2.0,2.0,0.023783,0.023228,0.047011,0.0,86.10297916307904
Lobule II,0.0,0.0,0.0,0.2278569999999999,0.237305,0.4651619999999999,0.0,0.0
Lobule III,0.0,0.0,0.0,0.45349,0.453202,0.906692,0.0,0.0
Lobules IV-V,0.0,0.0,0.0,1.100543,1.047012,2.147555,0.0,0.0
Locus ceruleus,1.0,5.0,6.0,0.002705,0.002964,0.005669,369.68576709796673,1686.9095816464237
Magnocellular nucleus,0.0,0.0,0.0,0.074206,0.072321,0.146527,0.0,0.0
Magnocellular reticular nucleus,282.0,252.0,534.0,0.098243,0.11234,0.210583,2870.4335168917887,2243.19031511483
Main olfactory bulb,122.0,404.0,526.0,2.341465,2.736171,5.077636,52.10413138782771,147.6515904890447
Medial accesory oculomotor nucleus,2.0,2.0,4.0,0.0039019999999999,0.00396,0.007862,512.557662737071,505.0505050505051
Medial amygdalar nucleus,32.0,0.0,32.0,0.357776,0.339831,0.697607,89.44143821832655,0.0
"Medial geniculate complex, dorsal part",0.0,0.0,0.0,0.036305,0.037368,0.0736729999999999,0.0,0.0
"Medial geniculate complex, medial part",0.0,0.0,0.0,0.059167,0.063036,0.1222029999999999,0.0,0.0
"Medial geniculate complex, ventral part",0.0,0.0,0.0,0.064594,0.066171,0.130765,0.0,0.0
Medial habenula,0.0,0.0,0.0,0.0549039999999999,0.0529979999999999,0.107902,0.0,0.0
"Medial mammillary nucleus, dorsal part",0.0,0.0,0.0,0.017249,0.017151,0.0344,0.0,0.0
"Medial mammillary nucleus, lateral part",0.0,0.0,0.0,0.033227,0.034822,0.068049,0.0,0.0
