label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
533,2060.949281487743,1521.7810650887575,1183.0,47.20541000366211,968.0,36.0,1.1606943372299485,False,40.669975
534,2073.6162790697676,857.6860465116279,86.0,42.47674560546875,142.0,39.0,1.0444251640733526,False,40.669975
535,2068.2275229357797,1593.9963302752294,545.0,59.55229187011719,565.0,47.0,1.4642814867479756,False,40.669975
536,2070.3963446475195,2435.3770234986946,3830.0,37.072845458984375,143.0,34.0,0.9115531839656931,False,40.669975
537,2073.8627450980393,1174.8823529411766,51.0,44.2156867980957,172.0,38.0,1.0871825343599661,False,40.669975
538,2077.934065934066,2048.3516483516482,91.0,46.89011001586914,135.0,43.0,1.15294168959207,False,40.669975
539,2079.554213483146,2212.8266853932582,3560.0,53.185394287109375,222.0,49.0,1.3077311682622998,False,40.669975
540,2079.630541871921,1665.9901477832511,203.0,51.56650161743164,172.0,50.0,1.2679255706807462,False,40.669975
543,2087.051724137931,1148.0603448275863,116.0,47.66379165649414,159.0,42.0,1.1719651002355227,False,40.669975
544,2094.159836065574,1594.2581967213114,1464.0,45.530738830566406,154.0,43.0,1.1195172486889609,False,40.669975
545,2087.292517006803,1625.142857142857,147.0,49.156463623046875,160.0,45.0,1.2086671625369676,False,40.669975
547,2100.56,1270.66,50.0,50.380001068115234,155.0,45.0,1.2387517012322034,False,40.669975
548,2102.7571428571428,1285.6714285714286,70.0,47.35714340209961,133.0,47.0,1.1644251828326324,False,40.669975
550,2101.4801061007956,1641.4270557029179,377.0,47.56498718261719,144.0,45.0,1.1695356796815424,False,40.669975
551,2107.7024793388427,1620.3801652892562,242.0,48.123966217041016,161.0,45.0,1.1832799475490532,False,40.669975
552,2110.8142857142857,1560.6285714285714,140.0,42.71428680419922,132.0,41.5,1.0502658658955353,False,40.669975
553,2126.3333333333335,1739.3934311670162,1431.0,50.146751403808594,201.0,46.0,1.2330165203599155,False,40.669975
554,2122.853503184713,1529.15556099951,4082.0,44.91670608520508,1469.0,36.0,1.1044193111779983,False,40.669975
555,2127.3055175558598,1488.281805745554,2193.0,32.62653732299805,854.0,29.0,0.8022266327373823,False,40.669975
557,2156.7847790507367,1359.868248772504,1222.0,42.69721603393555,162.0,39.0,1.0498461270059534,False,40.669975
558,2138.255894590846,2434.771151178918,1442.0,38.063106536865234,160.0,35.0,0.9359018852138418,False,40.669975
559,2140.0632911392404,1703.5316455696202,79.0,42.9620246887207,115.0,35.0,1.0563572854946681,False,40.669975
560,2142.3445065176907,707.2184978274364,1611.0,50.31471252441406,215.0,46.0,1.2371463758478023,False,40.669975
562,2155.777777777778,911.7777777777778,54.0,38.72222137451172,128.0,34.5,0.9521083085789002,False,40.669975
563,2155.2166172106827,1713.3560830860533,337.0,49.93471908569336,172.0,47.0,1.2278030350639082,False,40.669975
564,2156.3161904761905,1744.6961904761904,1050.0,48.23143005371094,175.0,45.0,1.1859222859308214,False,40.669975
566,2173.766129032258,732.5725806451613,124.0,46.99193572998047,161.0,45.5,1.1554453968947764,False,40.669975
568,2172.169811320755,830.0754716981132,53.0,36.867923736572266,83.0,35.0,0.9065145351591115,False,40.669975
569,2175.566037735849,930.4528301886793,53.0,37.96226501464844,96.0,35.0,0.9334223773823113,False,40.669975
570,2173.1451612903224,1706.1048387096773,124.0,51.975807189941406,148.0,51.0,1.2779896430015223,False,40.669975
571,2174.7600518806744,696.7704280155642,771.0,47.58495330810547,155.0,44.0,1.1700266100386536,False,40.669975
572,2178.950354609929,1147.2624113475176,141.0,47.86524963378906,134.0,43.0,1.176918581910989,False,40.669975
575,2183.512859304085,1529.4969742813919,1322.0,38.6111946105957,143.0,36.0,0.9493783643596192,False,40.669975
576,2185.533950617284,1394.5751028806585,972.0,41.175926208496094,164.0,39.0,1.0124404041124093,False,40.669975
